Principio Attivo	Descrizione Gruppo Equivalenza	Denominazione e Confezione	Prezzo al pubblico �	Titolare AIC	"Codice 
AIC"	Codice Gruppo Equivalenza	X=in lista di trasparenza Aifa 15/12/2020	Solo in lista di Regione:	Metri cubi ossigeno 
Acamprosato	ACAMPROSATO 333MG 84 UNITA' USO ORALE	CAMPRAL*84 cpr riv gastrores 333 mg	33,77	BRUNO FARMACEUTICI SpA	34208013	H0A			
Acarbosio	ACARBOSIO 100MG 40 UNITA' USO ORALE	ACARBOSIO*40 cpr 100 mg	5,63	DOC GENERICI Srl	44155024	H1A	X		
Acarbosio	ACARBOSIO 100MG 40 UNITA' USO ORALE	ACARBOSIO*40 cpr 100 mg	5,63	TECNIMEDE SOC.TECNICO-MED.S.A.	39716182	H1A	X		
Acarbosio	ACARBOSIO 100MG 40 UNITA' USO ORALE	ACARPHAGE*40 cpr 100 mg	5,63	MERCK SERONO SpA	38835144	H1A	X		
Acarbosio	ACARBOSIO 100MG 40 UNITA' USO ORALE	GLUCOBAY*40 cpr 100 mg	8,04	BAYER SpA	26851016	H1A	X		
Acarbosio	ACARBOSIO 50MG 40 UNITA' USO ORALE	ACARBOSIO*40 cpr 50 mg	5,63	DOC GENERICI Srl	44155012	H1B	X		
Acarbosio	ACARBOSIO 50MG 40 UNITA' USO ORALE	ACARBOSIO*40 cpr 50 mg	5,63	TECNIMEDE SOC.TECNICO-MED.S.A.	39716170	H1B	X		
Acarbosio	ACARBOSIO 50MG 40 UNITA' USO ORALE	ACARPHAGE*40 cpr 50 mg	5,63	MERCK SERONO SpA	38835043	H1B	X		
Acarbosio	ACARBOSIO 50MG 40 UNITA' USO ORALE	GLUCOBAY*40 cpr 50 mg	8,04	BAYER SpA	26851028	H1B	X		
Acarbosio	ACARBOSIO 50MG 40 UNITA' USO ORALE	GLUCOBAY*40 cpr 50 mg	8,04	GMM FARMA Srl	45430016	H1B	X		
Acebutololo	ACEBUTOLOLO 400MG 30 UNITA' USO ORALE	SECTRAL*30 cpr 400 mg	10,71	SANOFI SpA	24155057	B4A			
Aceclofenac	ACECLOFENAC 100MG 30 UNITA' USO ORALE	KAFENAC*orale sosp polv 30 bust 100 mg	8,09	ALMIRALL S.A.	31842026	B5A		Toscana	
Aceclofenac	ACECLOFENAC 100MG 30 UNITA' USO ORALE	AIRTAL*orale sosp polv 30 bust 100 mg	8,14	ALMIRALL S.A.	32773032	B5A		Toscana	
Aceclofenac	ACECLOFENAC 100MG 30 UNITA' USO ORALE	GLADIO*orale polv 30 bust 100 mg	8,33	ABIOGEN PHARMA SpA	31220027	B5A		Toscana	
Aceclofenac	ACECLOFENAC 100MG 40 UNITA' USO ORALE	ACECLOFENAC*40 cpr riv 100 mg	5,64	ACCORD HEALTHCARE SLU	42403042	B5B	X		
Aceclofenac	ACECLOFENAC 100MG 40 UNITA' USO ORALE	ACECLOFENAC*40 cpr riv 100 mg	5,64	EG SpA	43259035	B5B	X		
Aceclofenac	ACECLOFENAC 100MG 40 UNITA' USO ORALE	AIRTAL*40 cpr riv 100 mg	10,26	ALMIRALL S.A.	32773020	B5B	X		
Aceclofenac	ACECLOFENAC 100MG 40 UNITA' USO ORALE	KAFENAC*40 cpr riv 100 mg	10,26	ALMIRALL S.A.	31842014	B5B	X		
Aceclofenac	ACECLOFENAC 100MG 40 UNITA' USO ORALE	GLADIO*40 cpr riv 100 mg	10,57	ABIOGEN PHARMA SpA	31220015	B5B	X		
Acenocumarolo	ACENOCUMAROLO 1MG 20 UNITA' USO ORALE	SINTROM*20 cpr 1 mg	1,91	MERUS LABS LUXCO II SARL	11782024	H2A			
Acenocumarolo	ACENOCUMAROLO 4MG 20 UNITA' USO ORALE	SINTROM*20 cpr div 4 mg	2,03	MERUS LABS LUXCO II SARL	11782012	H2B			
Acetazolamide	ACETAZOLAMIDE 250MG 12 UNITA' USO ORALE	DIAMOX*12 cpr 250 mg	3,03	TEOFARMA Srl	9277017	H3A			
Aciclovir	ACICLOVIR 8% 100ML USO ORALE	ACICLIN*orale sosp 100 ml 8% flacone	13,90	FIDIA FARMACEUTICI SpA	28614129	26A	X		
Aciclovir	ACICLOVIR 8% 100ML USO ORALE	ACICLOVIR GIT*orale sosp 100 ml 8% flacone	13,90	S.F. GROUP Srl	33429022	26A	X		
